Date,s2_pm2_5
2019-03-17 23:00:00,46.26217391304349
2019-03-18 00:00:00,44.01466666666667
2019-03-18 01:00:00,39.69934782608695
2019-03-18 02:00:00,42.257999999999996
2019-03-18 03:00:00,38.38088888888888
2019-03-18 04:00:00,45.56173913043477
2019-03-18 05:00:00,39.36488888888889
2019-03-18 06:00:00,35.341521739130435
2019-03-18 07:00:00,30.718043478260864
2019-03-18 08:00:00,29.244888888888894
2019-03-18 09:00:00,20.245869565217387
2019-03-18 10:00:00,20.24847826086957
2019-03-18 11:00:00,18.146304347826085
2019-03-18 12:00:00,16.616956521739127
2019-03-18 13:00:00,16.457173913043476
2019-03-18 14:00:00,25.07511111111112
2019-03-18 15:00:00,38.460434782608694
2019-03-18 16:00:00,36.65266666666666
2019-03-18 17:00:00,38.8245652173913
